"sourcecountry","targetcountry","searchratio"
"CY","NL",5
"CY","NO",3
"CY","PL",3
"CY","PT",2
"CY","RO",3
"CY","SE",3
"CY","SI",2
"CY","SK",2
"CZ","AT",4
"CZ","BE",2
"CZ","BG",4
"CZ","CH",5
"CZ","CY",4
"CZ","DE",5
"CZ","DK",2
"CZ","EE",2
"CZ","ES",4
"CZ","FI",3
"CZ","FR",5
"CZ","GB",5
"CZ","GR",4
"CZ","HR",8
"CZ","HU",2
"CZ","IE",3
"CZ","IT",5
"CZ","LT",3
"CZ","LU",2
"CZ","LV",2
"CZ","MT",3
"CZ","NL",4
"CZ","NO",4
"CZ","PL",3
"CZ","PT",3
"CZ","RO",2
"CZ","SE",3
"CZ","SI",3
"CZ","SK",4
"DE","AT",4
"DE","BE",2
"DE","BG",3
"DE","CH",4
"DE","CY",6
"DE","CZ",3
"DE","DK",3
"DE","EE",1
"DE","ES",4
"DE","FI",2
"DE","FR",5
"DE","GB",3
"DE","GR",5
"DE","HR",8
"DE","HU",2
"DE","IE",4
"DE","IT",6
"DE","LT",2
"DE","LU",3
"DE","LV",2
"DE","MT",4
"DE","NL",5
"DE","NO",3
"DE","PL",3
"DE","PT",3
"DE","RO",3
"DE","SE",3
"DE","SI",2
"DE","SK",1
"DK","AT",3
"DK","BE",2
"DK","BG",3
"DK","CH",5
"DK","CY",5
"DK","CZ",2
"DK","DE",6
"DK","EE",2
"DK","ES",5
"DK","FI",2
"DK","FR",4
"DK","GB",5
"DK","GR",4
"DK","HR",5
"DK","HU",2
"DK","IE",3
"DK","IT",7
"DK","LT",2
"DK","LU",2
"DK","LV",1
"DK","MT",8
"DK","NL",3
"DK","NO",5
"DK","PL",2
"DK","PT",3
"DK","RO",2
"DK","SE",5
"DK","SI",2
"DK","SK",1
"EE","AT",3
"EE","BE",3
"EE","BG",5
"EE","CH",2
"EE","CY",2
"EE","CZ",0
"EE","DE",5
"EE","DK",3
"EE","ES",6
"EE","FI",3
"EE","FR",4
"EE","GB",4
"EE","GR",3
"EE","HR",6
"EE","HU",3
"EE","IE",2
"EE","IT",5
"EE","LT",4
"EE","LU",2
"EE","LV",4
"EE","MT",4
"EE","NL",5
"EE","NO",5
"EE","PL",3
"EE","PT",3
"EE","RO",3
"EE","SE",5
"EE","SI",2
"EE","SK",2
"ES","AT",2
"ES","BE",3
"ES","BG",2
"ES","CH",5
"ES","CY",6
"ES","CZ",0
"ES","DE",6
"ES","DK",3
"ES","EE",1
"ES","FI",3
"ES","FR",5
"ES","GB",6
"ES","GR",4
"ES","HR",4
"ES","HU",0
"ES","IE",5
"ES","IT",6
"ES","LT",2
"ES","LU",2
"ES","LV",2
"ES","MT",6
"ES","NL",5
"ES","NO",4
"ES","PL",5
"ES","PT",5
"ES","RO",1
"ES","SE",4
"ES","SI",2
"ES","SK",1
"FI","AT",3
"FI","BE",2
"FI","BG",3
"FI","CH",5
"FI","CY",5
"FI","CZ",0
"FI","DE",4
"FI","DK",3
"FI","EE",7
"FI","ES",6
"FI","FR",3
"FI","GB",3
"FI","GR",4
"FI","HR",8
"FI","HU",3
"FI","IE",3
"FI","IT",5
"FI","LT",2
"FI","LU",2
"FI","LV",2
"FI","MT",4
"FI","NL",2
"FI","NO",4
"FI","PL",3
"FI","PT",3
"FI","RO",2
"FI","SE",4
"FI","SI",2
"FI","SK",1
"FR","AT",2
"FR","BE",4
"FR","BG",2
"FR","CH",5
"FR","CY",5
"FR","CZ",0
"FR","DE",5
"FR","DK",3
"FR","EE",1
"FR","ES",8
"FR","FI",2
"FR","GB",7
"FR","GR",1
"FR","HR",7
"FR","HU",2
"FR","IE",6
"FR","IT",7
"FR","LT",1
"FR","LU",4
"FR","LV",1
"FR","MT",7
"FR","NL",3
"FR","NO",1
"FR","PL",3
"FR","PT",8
"FR","RO",3
"FR","SE",1
"FR","SI",1
"FR","SK",1
"GB","AT",2
"GB","BE",3
"GB","BG",4
"GB","CH",4
"GB","CY",8
"GB","CZ",2
"GB","DE",4
"GB","DK",2
"GB","EE",1
"GB","ES",6
"GB","FI",2
"GB","FR",7
"GB","GR",4
"GB","HR",6
"GB","HU",2
"GB","IE",4
"GB","IT",6
"GB","LT",2
"GB","LU",2
"GB","LV",2
"GB","MT",8
"GB","NL",4
"GB","NO",3
"GB","PL",3
"GB","PT",5
"GB","RO",2
"GB","SE",3
"GB","SI",2
"GB","SK",1
"GR","AT",3
"GR","BE",3
"GR","BG",4
"GR","CH",5
"GR","CY",15
"GR","CZ",0
"GR","DE",4
"GR","DK",4
"GR","EE",1
"GR","ES",3
"GR","FI",2
"GR","FR",4
"GR","GB",5
"GR","HR",2
"GR","HU",2
"GR","IE",3
"GR","IT",4
"GR","LT",2
"GR","LU",3
"GR","LV",2
"GR","MT",5
"GR","NL",6
"GR","NO",4
"GR","PL",2
"GR","PT",2
"GR","RO",3
"GR","SE",4
"GR","SI",2
"GR","SK",1
"HR","AT",4
"HR","BE",3
"HR","BG",2
"HR","CH",5
"HR","CY",3
"HR","CZ",0
"HR","DE",8
"HR","DK",3
"HR","EE",2
"HR","ES",4
"HR","FI",3
"HR","FR",5
"HR","GB",5
"HR","GR",3
"HR","HU",3
"HR","IE",4
"HR","IT",5
"HR","LT",3
"HR","LU",2
"HR","LV",2
"HR","MT",3
"HR","NL",4
"HR","NO",3
"HR","PL",3
"HR","PT",3
"HR","RO",3
"HR","SE",4
"HR","SI",5
"HR","SK",2
"HU","AT",5
"HU","BE",2
"HU","BG",3
"HU","CH",4
"HU","CY",5
"HU","CZ",0
"HU","DE",5
"HU","DK",3
"HU","EE",1
"HU","ES",4
"HU","FI",2
"HU","FR",3
"HU","GB",2
"HU","GR",6
"HU","HR",13
"HU","IE",3
"HU","IT",6
"HU","LT",1
"HU","LU",2
"HU","LV",1
"HU","MT",5
"HU","NL",4
"HU","NO",3
"HU","PL",3
"HU","PT",2
"HU","RO",3
"HU","SE",3
"HU","SI",3
"HU","SK",3
"IE","AT",3
"IE","BE",3
"IE","BG",3
"IE","CH",3
"IE","CY",6
"IE","CZ",0
"IE","DE",4
"IE","DK",2
"IE","EE",1
"IE","ES",6
"IE","FI",2
"IE","FR",6
"IE","GB",3
"IE","GR",3
"IE","HR",6
"IE","HU",2
"IE","IT",5
"IE","LT",3
"IE","LU",2
"IE","LV",2
"IE","MT",9
"IE","NL",4
"IE","NO",3
"IE","PL",3
"IE","PT",6
"IE","RO",2
"IE","SE",3
"IE","SI",2
"IE","SK",2
"IT","AT",3
"IT","BE",2
"IT","BG",2
"IT","CH",5
"IT","CY",6
"IT","CZ",2
"IT","DE",5
"IT","DK",2
"IT","EE",1
"IT","ES",5
"IT","FI",2
"IT","FR",4
"IT","GB",4
"IT","GR",6
"IT","HR",7
"IT","HU",2
"IT","IE",4
"IT","LT",2
"IT","LU",2
"IT","LV",2
"IT","MT",9
"IT","NL",2
"IT","NO",4
"IT","PL",3
"IT","PT",3
"IT","RO",4
"IT","SE",3
"IT","SI",3
"IT","SK",1
"LT","AT",2
"LT","BE",2
"LT","BG",3
"LT","CH",2
"LT","CY",4
"LT","CZ",0
"LT","DE",5
"LT","DK",18
"LT","EE",2
"LT","ES",4
"LT","FI",3
"LT","FR",2
"LT","GB",4
"LT","GR",3
"LT","HR",5
"LT","HU",2
"LT","IE",2
"LT","IT",4
"LT","LU",2
"LT","LV",4
"LT","MT",6
"LT","NL",3
"LT","NO",5
"LT","PL",4
"LT","PT",3
"LT","RO",2
"LT","SE",2
"LT","SI",1
"LT","SK",1
"LU","AT",3
"LU","BE",5
"LU","BG",3
"LU","CH",4
"LU","CY",6
"LU","CZ",1
"LU","DE",6
"LU","DK",2
"LU","EE",2
"LU","ES",4
"LU","FI",2
"LU","FR",7
"LU","GB",4
"LU","GR",2
"LU","HR",5
"LU","HU",2
"LU","IE",3
"LU","IT",5
"LU","LT",2
"LU","LV",2
"LU","MT",5
"LU","NL",4
"LU","NO",2
"LU","PL",2
"LU","PT",8
"LU","RO",2
"LU","SE",2
"LU","SI",1
"LU","SK",1
"LV","AT",2
"LV","BE",2
"LV","BG",4
"LV","CH",4
"LV","CY",5
"LV","CZ",1
"LV","DE",4
"LV","DK",6
"LV","EE",4
"LV","ES",4
"LV","FI",3
"LV","FR",4
"LV","GB",4
"LV","GR",3
"LV","HR",5
"LV","HU",2
"LV","IE",2
"LV","IT",5
"LV","LT",4
"LV","LU",2
"LV","MT",5
"LV","NL",3
"LV","NO",5
"LV","PL",3
"LV","PT",3
"LV","RO",2
"LV","SE",4
"LV","SI",1
"LV","SK",2
"MT","AT",3
"MT","BE",2
"MT","BG",4
"MT","CH",5
"MT","CY",6
"MT","CZ",0
"MT","DE",4
"MT","DK",3
"MT","EE",2
"MT","ES",4
"MT","FI",2
"MT","FR",5
"MT","GB",5
"MT","GR",4
"MT","HR",5
"MT","HU",2
"MT","IE",5
"MT","IT",7
"MT","LT",2
"MT","LU",3
"MT","LV",2
"MT","NL",5
"MT","NO",3
"MT","PL",3
"MT","PT",2
"MT","RO",3
"MT","SE",4
"MT","SI",6
"MT","SK",2
"NL","AT",5
"NL","BE",1
"NL","BG",3
"NL","CH",3
"NL","CY",8
"NL","CZ",0
"NL","DE",7
"NL","DK",3
"NL","EE",2
"NL","ES",7
"NL","FI",2
"NL","FR",8
"NL","GB",5
"NL","GR",6
"NL","HR",1
"NL","HU",3
"NL","IE",3
"NL","IT",1
"NL","LT",2
"NL","LU",4
"NL","LV",1
"NL","MT",8
"NL","NO",4
"NL","PL",3
"NL","PT",5
"NL","RO",1
"NL","SE",4
"NL","SI",0
"NL","SK",1
"NO","AT",2
"NO","BE",2
"NO","BG",3
"NO","CH",4
"NO","CY",4
"NO","CZ",1
"NO","DE",4
"NO","DK",5
"NO","EE",2
"NO","ES",6
"NO","FI",2
"NO","FR",4
"NO","GB",7
"NO","GR",4
"NO","HR",8
"NO","HU",2
"NO","IE",4
"NO","IT",5
"NO","LT",2
"NO","LU",1
"NO","LV",1
"NO","MT",5
"NO","NL",3
"NO","PL",4
"NO","PT",3
"NO","RO",2
"NO","SE",5
"NO","SI",1
"NO","SK",1
"PL","AT",3
"PL","BE",2
"PL","BG",4
"PL","CH",4
"PL","CY",4
"PL","CZ",0
"PL","DE",6
"PL","DK",3
"PL","EE",1
"PL","ES",6
"PL","FI",2
"PL","FR",4
"PL","GB",1
"PL","GR",4
"PL","HR",11
"PL","HU",3
"PL","IE",3
"PL","IT",4
"PL","LT",2
"PL","LU",2
"PL","LV",1
"PL","MT",5
"PL","NL",5
"PL","NO",5
"PL","PT",3
"PL","RO",3
"PL","SE",4
"PL","SI",2
"PL","SK",2
"PT","AT",4
"PT","BE",2
"PT","BG",3
"PT","CH",2
"PT","CY",6
"PT","CZ",0
"PT","DE",8
"PT","DK",5
"PT","EE",2
"PT","ES",7
"PT","FI",1
"PT","FR",8
"PT","GB",11
"PT","GR",2
"PT","HR",2
"PT","HU",3
"PT","IE",6
"PT","IT",2
"PT","LT",1
"PT","LU",6
"PT","LV",1
"PT","MT",4
"PT","NL",3
"PT","NO",5
"PT","PL",1
"PT","RO",1
"PT","SE",3
"PT","SI",1
"PT","SK",1
"RO","AT",4
"RO","BE",3
"RO","BG",4
"RO","CH",2
"RO","CY",5
"RO","CZ",0
"RO","DE",6
"RO","DK",4
"RO","EE",1
"RO","ES",5
"RO","FI",2
"RO","FR",1
"RO","GB",3
"RO","GR",8
"RO","HR",5
"RO","HU",4
"RO","IE",3
"RO","IT",6
"RO","LT",1
"RO","LU",3
"RO","LV",2
"RO","MT",4
"RO","NL",5
"RO","NO",4
"RO","PL",4
"RO","PT",3
"RO","SE",4
"RO","SI",2
"RO","SK",2
"SE","AT",3
"SE","BE",2
"SE","BG",2
"SE","CH",6
"SE","CY",5
"SE","CZ",1
"SE","DE",5
"SE","DK",4
"SE","EE",4
"SE","ES",4
"SE","FI",3
"SE","FR",4
"SE","GB",6
"SE","GR",4
"SE","HR",8
"SE","HU",2
"SE","IE",3
"SE","IT",6
"SE","LT",2
"SE","LU",1
"SE","LV",2
"SE","MT",6
"SE","NL",3
"SE","NO",4
"SE","PL",3
"SE","PT",3
"SE","RO",2
"SE","SI",2
"SE","SK",1
"SI","AT",5
"SI","BE",2
"SI","BG",3
"SI","CH",5
"SI","CY",5
"SI","CZ",0
"SI","DE",5
"SI","DK",3
"SI","EE",2
"SI","ES",4
"SI","FI",2
"SI","FR",4
"SI","GB",3
"SI","GR",4
"SI","HR",7
"SI","HU",3
"SI","IE",4
"SI","IT",5
"SI","LT",2
"SI","LU",2
"SI","LV",2
"SI","MT",5
"SI","NL",5
"SI","NO",3
"SI","PL",3
"SI","PT",3
"SI","RO",3
"SI","SE",3
"SI","SK",2
"SK","AT",2
"SK","BE",3
"SK","BG",7
"SK","CH",5
"SK","CY",7
"SK","CZ",2
"SK","DE",5
"SK","DK",2
"SK","EE",1
"SK","ES",4
"SK","FI",1
"SK","FR",3
"SK","GB",5
"SK","GR",2
"SK","HR",7
"SK","HU",2
"SK","IE",2
"SK","IT",8
"SK","LT",3
"SK","LU",3
"SK","LV",2
"SK","MT",4
"SK","NL",5
"SK","NO",2
"SK","PL",2
"SK","PT",3
"SK","RO",3
"SK","SE",2
"SK","SI",4
